# generated from hanzi_chaizi simplified data; see THIRD_PARTY_NOTICES.md
rensi	偲	cai	人+思	10
renzhuan	偳	duan	人+耑	4
renze	侧	ce	人+则	2221
renzhen	侦	zhen	人+贞	100
renyu	偶	ou	人+禺	24864
renshu	偷	tou	人+俞	3462
renzan	偺	zan	人+昝	10
renwei	伪	wei	人+为	978
rengui	傀	kui	人+鬼	12
rensi	傂	zhi	人+虒	4
rensu	傃	su	人+素	5
renfucun	傅	fu	人+甫+寸	1163
renpo	傅	fu	亻+尃	1163
renrong	傇	rong	人+茸	3
renli	傈	li	人+栗	112
rengou	傋	jiang	人+冓	4
renma	傌	ma	人+馬	3
renpang	傍	bang	人+旁	514
renzhen	傎	dian	人+真	5
muhuo	杰	jie	木+火	2963
renxi	傒	xi	人+奚	9
rendiandianjian	傔	qian	人+丶+丶+兼	4
rencang	伧	chen	人+仓	5
dongtian	备	bei	夂+田	1571
renjiaopo	傚	xiao	人+交+攴	36
renjiaofan	傚	xiao	人+交+攵	36
renrong	傛	yong	人+容	19
renriyu	傝	tan	人+日+羽	15
rencha	傞	suo	人+差	10
baoshi	家	jia	宀+豕	52256
rentai	傣	dai	人+泰	49
rencui	催	cui	人+崔	2436
rencao	傮	zao	人+曹	1
rencong	傯	zong	人+悤	3
renbeng	傰	peng	人+崩	3
renao	傲	ao	人+敖	597
renzhuan	传	chuan	人+专	14495
renqu	伛	yu	人+区	4
renze	债	zhai	人+责	898
renqi	傶	zu	人+戚	1
renpieyili	伤	shang	人+丿+一+力	5552
renshuang	傸	chuang	人+爽	2
renji	傺	chi	人+祭	7
renxinerxi	傻	sha	人+囟+儿+夕	7160
renxinerdong	傻	sha	亻+囟+儿+夂	7160
renzhang	傽	zhang	人+章	2
renqing	倾	qing	人+顷	1211
renyan	傿	yin	人+焉	2
renxi	僁	xie	人+悉	2
renlou	偻	lou	人+娄	7
renpiao	僄	piao	人+票	3
renyou	仅	jin	人+又	6472
renlu	僇	lu	人+翏	3
renman	僈	man	人+曼	3
renyixiaoyi	佥	qian	人+一+小+一	33
renxidaji	僊	xian	人+西+大+己	3
renxun	僎	zun	人+巽	2
renxiang	像	xiang	人+象	34680
renqiao	侨	qiao	人+乔	341
renzun	僔	zun	人+尊	4
renxi	僖	xi	人+喜	40
renchang	僘	chang	人+敞	2
renliao	僚	liao	人+尞	88
renqi	僛	qi	人+欺	2
renchan	僝	zhuan	人+孱	3
renfan	僠	bo	人+番	1
renti	僣	tie	人+替	4
renyao	侥	jiao	人+尧	33
renjiu	僦	jiu	人+就	45
renzeng	僧	seng	人+曽	792
renceng	僧	seng	人+曾	792
renben	偾	fen	人+贲	9
renyu	僪	yu	人+矞	3
renjiao	僬	jiao	人+焦	9
renqian	僭	jian	人+朁	37
rentong	僮	tong	人+童	17
jiren	僰	bo	棘+人	14
huzhui	雇	gu	户+隹	349
rensu	僳	su	人+粟	15
renjiang	僵	jiang	人+畺	337
renjin	僸	jin	人+禁	3
renbi	僻	pi	人+辟	84
renchou	僽	zhou	人+愁	3
rensai	僿	sai	人+塞	1
renyi	仪	yi	人+义	1797
renjuan	儁	jun	人+雋	3
rennong	侬	nong	人+农	1991
rendan	儃	tan	人+亶	3
renyi	亿	yi	人+乙	8567
renjing	儆	jing	人+敬	20
renhui	侩	kuai	人+会	80
renchu	儊	chu	人+楚	8
renzhan	儋	dan	人+詹	34
renjiao	儌	jiao	人+敫	12
renbin	傧	bin	人+宾	8
renxu	儒	ru	人+需	855
renshou	俦	chou	人+寿	22
renqi	侪	chai	人+齐	15
renyi	儗	yi	人+疑	5
chibing	尽	jin	尺+冰	4781
renchang	偿	chang	人+尝	192
renlei	儡	lei	人+畾	7
rentiantiantian	儡	lei	人+田+田+田	7
renbao	儤	bao	人+暴	6
renpao	儦	biao	人+麃	2
renyou	优	you	人+尤	1968
renzhu	储	chu	人+诸	685
renchan	儳	chan	人+毚	10
renxiang	儴	xiang	人+襄	9
youhei	儵	tiao	攸+黑	6
renli	俪	li	人+丽	83
rennan	傩	nuo	人+难	47
rendang	傥	tang	人+党	12
renyan	俨	yan	人+严	40
renlei	儽	luo	人+纍	1
yier	兀	wu	一+儿	164
sier	允	yun	厶+儿	476
erer	元	yuan	二+儿	30885
kouer	兄	xiong	口+儿	2729
wenyun	充	chong	亠+允	2904
bingerdiandian	兆	zhao	冰+儿+丶+丶	1548
pietuer	先	xian	丿+土+儿	84326
xiaowu	光	guang	小+兀	12327
shixiong	克	ke	十+兄	7151
shikouer	克	ke	十+口+儿	7151
daokoueer	免	mian	刀+口+丨+儿	2805
daokoueerdian	兔	tu	刀+口+丨+儿+丶	1422
jiuer	児	ni	旧+儿	19
aoer	兕	si	凹+儿	15
wenrui	兖	yan	亠+兊	19
wendui	兗	yan	亠+兌	6
xianxian	兟	shen	先+先	13
keke	兢	jing	克+克	49
jiongren	内	nei	冂+人	40881
renwang	全	quan	人+王	25876
yijiongerenren	两	liang	一+冂+丨+人+人	16584
basi	公	gong	八+厶	5026
wenba	六	liu	亠+八	8090
jingba	共	gong	井+八	9924
shieyiba	共	gong	十+丨+一+八	9924
ereeba	共	gong	二+丨+丨+八	9924
qiuba	兵	bing	丘+八	4611
ganyiba	其	qi	甘+一+八	58168
muyiba	具	ju	目+一+八	2344
quba	典	dian	曲+八	809
caoyi	艺	yi	草+乙	1221
beiyi	冀	ji	北+異	432
eyi	冂	jiong	丨+乙	79
weiyuan	圆	yuan	囗+员	2854
yipiejiong	冇	mao	一+丿+冂	3377
jiongshiyi	冉	ran	冂+十+一	442
yijiongshiyi	再	zai	一+冂+十+一	120734
jiongbakou	冏	jiong	冂+八+口	23
